Sample temperature Tp;Hall voltage UH;Sample voltage Up;Sample current Ip
Tp/°C;UH/mV;Up/V;Ip/mA
;;;
26;0,1;3,53;4
26;0,1;3,55;4
26;0,1;3,56;4
26,1;0,3;3,57;4
26,1;0,3;3,58;4
26,1;0,2;3,56;4
26,1;0,3;3,53;4
26,1;0;3,55;4
26,1;0,1;3,53;4
26,1;0,2;3,56;4
26,2;-0,1;3,55;4
26,2;0,1;3,56;4
26,2;0,1;3,54;4
26,2;0,2;3,51;4
26,3;0,3;3,51;4
26,3;0,1;3,52;4
26,3;0,4;3,51;4
26,4;0,1;3,53;4
26,4;0,2;3,52;4
26,4;0,1;3,47;4
26,4;0,3;3,51;4
26,5;0,1;3,52;4
26,5;0,2;3,51;4
26,6;0,1;3,47;4
26,6;0,3;3,49;4
26,6;0,1;3,47;4
26,7;0,3;3,43;4
26,7;0,2;3,52;4
26,7;0,2;3,47;4
26,7;0,2;3,44;4
26,7;0,4;3,48;4
26,7;0,3;3,46;4
26,7;0,2;3,48;4
26,7;0,3;3,43;4
26,7;0,2;3,5;4
26,7;0,2;3,46;4
26,8;0,3;3,46;4
26,8;0,3;3,45;4
26,8;0;3,45;4
26,9;0,2;3,42;4
26,9;0,1;3,4;4
26,9;0;3,45;4
27;0,3;3,43;4
27;0,2;3,43;4
27;0,1;3,41;4
27,1;0,3;3,42;4
27,1;0,3;3,42;4
27,2;0,3;3,41;4
27,2;0,3;3,4;4
27,2;0,1;3,38;4
27,2;0,2;3,39;4
27,2;0,1;3,34;4
27,3;0,1;3,38;4
27,3;0,3;3,38;4
27,3;0,2;3,39;4
27,3;0;3,33;4
27,3;0,1;3,36;4
27,3;0,2;3,36;4
27,4;0,1;3,39;4
27,4;0,3;3,36;4
27,4;0;3,36;4
27,4;0,2;3,31;4
27,5;0;3,36;4
27,6;0,2;3,35;4
27,6;0,1;3,34;4
27,6;0,2;3,31;4
27,6;-0,1;2,17;4
27,6;0,1;3,31;4
27,6;0,1;3,34;4
27,7;0,2;3,32;4
27,8;0;3,29;4
27,8;0,2;3,3;4
27,9;0;3,3;4
27,9;0,3;3,3;4
27,9;0,1;3,29;4
28;0,2;2,18;4
28,1;0,2;3,26;4
28,1;0,2;3,29;4
28,1;0;3,26;4
28,2;0,2;3,23;4
28,2;0;3,26;4
28,2;0,1;3,24;4
28,2;0,1;3,25;4
28,2;0,3;3,22;4
28,2;0,2;3,24;4
28,3;0,2;3,18;4
28,4;0,2;3,21;4
28,4;0,2;3,23;4
28,4;0,1;3,22;4
28,4;0,1;3,2;4
28,4;0,2;3,22;4
28,5;0,3;3,2;4
28,5;0,1;3,19;4
28,5;0,3;3,2;4
28,6;0,2;3,22;4
28,6;0,2;3,2;4
28,6;0,4;3,18;4
28,6;0,3;3,2;4
28,7;0,2;3,14;4
28,8;0,2;3,17;4
28,8;0,4;3,16;4
28,8;0,4;3,16;4
28,8;0,3;3,17;4
28,9;0,2;3,11;4
28,9;0,3;3,14;4
28,9;0,2;3,12;4
29;0,2;3,12;4
29;0,2;3,11;4
29;0,4;3,1;4
29,1;0;3,12;4
29,1;0,1;3,12;4
29,1;0,4;3,09;4
29,1;0,1;3,1;4
29,2;0,3;3,05;4
29,2;0,4;3,1;4
29,3;0,2;3,09;4
29,4;0,3;3,06;4
29,5;0;3,08;5
29,5;0,2;3,05;4
29,6;0;3,08;4
29,6;0,2;3,06;4
29,6;0,1;2,99;4
29,7;0,1;3,04;4
29,8;0,2;3,05;4
29,8;0,1;3,06;4
29,8;0,2;3,01;4
29,9;0,2;3,05;4
29,9;0,2;3,01;4
29,9;0;3,05;4
30;0,3;3,03;4
30;0,2;3,02;4
30;0;2,95;4
30;0,1;2,98;4
30,1;0,2;3,01;4
30,1;0,2;3;4
30,1;0,2;2,98;4
30,1;0,1;2,96;4
30,2;0,2;2,99;4
30,3;0,2;2,96;4
30,3;0,2;2,95;4
30,3;0;2,94;4
30,3;0;2,95;4
30,4;0,1;2,93;4
30,4;0,3;2,94;4
30,5;0,1;2,91;4
30,6;0,3;2,92;5
30,7;0,1;2,91;4
30,8;0,1;2,89;4
30,8;0,2;2,89;4
30,8;-0,1;2,86;4
30,8;0,2;2,92;4
30,9;0,3;2,88;4
30,9;0,2;2,9;4
30,9;0,2;2,88;4
30,9;0,1;2,87;4
31;0;2,87;4
31;0,4;2,84;4
31,1;-0,1;2,86;4
31,2;0,3;2,84;4
31,2;0,3;2,82;4
31,4;0,4;2,83;4
31,4;0,2;2,8;4
31,4;0,1;2,82;4
31,4;0,3;2,84;4
31,5;0,1;2,78;4
31,5;0,2;2,78;4
31,7;0,2;2,78;4
31,7;0,3;2,78;4
31,7;0,2;2,76;4
31,8;0,4;2,81;4
31,9;-0,1;2,77;4
31,9;0,2;2,74;4
31,9;0,2;2,8;4
31,9;0,3;2,74;4
32;0,1;2,77;4
32,1;0,2;2,75;4
32,1;0,2;2,74;4
32,1;0,2;2,72;4
32,2;0,3;2,71;4
32,2;0,2;2,72;4
32,3;0,2;2,7;4
32,3;0,1;2,7;4
32,4;0,2;2,69;4
32,5;0,2;2,68;4
32,5;0,3;2,65;4
32,5;0,2;2,7;4
32,6;0,3;2,67;4
32,6;0,2;2,65;4
32,6;0,3;2,67;4
32,8;0,3;2,66;4
32,8;0,2;2,63;4
32,8;0,2;2,63;4
32,8;0,2;2,61;4
32,9;0,2;2,65;4
33;0,2;2,6;4
33,3;-0,1;2,59;4
33,3;0,2;2,6;4
33,4;0,1;2,58;4
33,5;0,1;2,54;4
33,5;0,1;2,92;5
33,6;0,1;2,55;4
33,6;0,2;2,58;4
33,6;0,2;2,53;4
33,6;0,3;2,57;4
33,7;0,1;2,55;4
33,8;0,3;2,52;4
33,8;0,1;2,54;4
33,8;0,3;2,53;4
33,9;0,3;2,5;4
34,2;0,3;2,48;4
34,2;0,3;2,5;4
34,2;0,3;2,49;4
34,3;0,1;2,49;4
34,4;0,1;2,48;4
34,4;0,2;2,48;4
34,4;0,2;2,46;4
34,6;0;2,44;4
34,6;0,2;2,46;4
34,6;0,3;2,44;4
34,6;0,2;2,46;4
34,7;0,3;2,42;4
34,9;0,3;2,43;4
35,1;0,2;2,41;4
35,1;0,3;2,4;4
35,1;0,1;2,4;4
35,2;0,2;2,39;4
35,2;0,2;2,37;4
35,3;0,1;2,4;4
35,4;0,1;2,36;4
35,4;0,2;2,37;4
35,6;0,2;2,36;4
35,7;0,2;2,36;4
35,8;0,1;2,33;5
35,9;0,2;2,31;4
35,9;0,1;2,33;4
35,9;0,1;2,31;4
35,9;0,1;2,33;5
36;-0,1;2,33;4
36,2;0,3;2,29;4
36,2;0,3;2,28;4
36,3;0,2;2,28;4
36,3;0;2,26;4
36,3;0,2;2,27;4
36,5;0,2;2,28;4
36,5;0,2;2,25;5
36,6;0;2,25;4
36,6;0,1;2,25;4
36,7;0,1;2,58;5
36,7;0;2,22;4
36,9;0,1;2,2;4
36,9;0,2;2,21;5
37;0,2;2,23;4
37,1;0,1;2,21;4
37,2;0,3;2,19;4
37,3;0,4;2,17;4
37,4;0,3;2,18;4
37,6;0,1;2,17;4
37,6;0,2;2,16;4
37,7;0,2;2,15;4
37,8;0,1;2,16;4
38;0,1;2,14;4
38,1;0,3;2,12;4
38,1;0,1;2,14;4
38,2;0,1;2,09;4
38,2;0,1;2,09;4
38,2;0,2;2,12;4
38,2;0,4;2,11;4
38,4;0,2;2,07;4
38,4;0,2;2,07;4
38,6;0,2;2,07;4
38,8;0,2;2,06;4
38,8;0,4;2,05;4
38,8;0;2,03;4
38,9;0;2,34;5
39;0,3;2,04;4
39,1;0,1;2,03;4
39,3;0,2;2,02;4
39,3;0,2;1,99;4
39,3;0,2;2,02;4
39,5;0,3;2,01;4
39,6;0,2;1,98;4
39,9;0,1;1,97;4
40;0,3;1,97;4
40,2;0,4;1,96;4
40,2;0,1;1,95;5
40,2;0,2;1,93;4
40,2;0,2;1,95;4
40,3;0,2;1,93;4
40,4;0,2;1,92;4
40,4;0,3;1,9;5
40,5;0;1,91;4
40,8;0,3;1,9;4
40,8;0,2;1,89;4
40,9;0,1;1,87;4
41;-0,1;1,86;4
41,1;0,1;1,86;4
41,2;0,1;1,85;4
41,3;0,3;1,84;5
41,3;0,2;1,82;4
41,4;0,2;1,83;5
41,5;0,1;1,8;4
41,6;0,2;1,82;4
41,7;0,3;1,81;4
42,1;0,3;1,78;4
42,2;0,3;2,05;5
42,2;0,2;1,79;4
42,3;0,2;1,77;4
42,3;0,2;1,75;4
42,4;0,1;1,76;5
42,7;0,2;1,76;4
42,8;0,2;1,72;4
42,8;0,4;1,74;4
42,9;0,1;1,72;4
43,1;0,1;1,72;4
43,2;0,1;1,7;4
43,2;0,1;1,69;5
43,3;0,1;1,69;4
43,5;0,1;1,67;4
43,6;0,3;1,67;4
43,8;0,3;1,66;4
44;0,1;1,65;4
44,1;0,1;1,65;4
44,3;0,3;1,64;4
44,4;0,3;1,63;4
44,5;0,1;1,61;4
44,5;0,2;1,86;5
44,6;0,1;1,61;4
44,7;0,2;1,59;4
44,8;0,3;1,59;4
44,9;0,3;1,59;4
45,1;0,2;1,58;5
45,3;0,2;1,57;4
45,3;0,2;1,56;4
45,6;0,3;1,56;5
45,8;0,3;1,54;4
45,9;0,4;1,53;4
46;0,3;1,52;4
46,1;0,2;1,52;4
46,1;0,2;1,5;4
46,3;0,2;1,49;4
46,6;0,1;1,49;4
46,8;0,1;1,47;4
46,8;0,1;1,46;4
47;0,2;1,47;4
47,2;0,4;1,44;4
47,2;0,2;1,44;4
47,3;0,2;1,45;4
47,5;0,2;1,43;5
47,6;0,2;1,41;4
47,8;0;1,61;5
47,9;0,2;1,41;4
48,1;0,2;1,4;4
48,2;0,1;1,39;4
48,2;0;1,38;4
48,5;0,3;1,36;4
48,6;0,2;1,37;4
48,7;0,2;1,36;4
48,9;0,2;1,35;4
49;0,2;1,34;4
49,3;0,1;1,33;4
49,4;0,1;1,33;4
49,5;0,2;1,31;4
49,7;0,2;1,3;4
50,1;0,1;1,29;4
50,2;0,2;1,3;4
50,2;0,2;1,47;5
50,4;0,2;1,28;4
50,4;0,3;1,27;4
50,6;0,5;1,26;4
50,7;0,2;1,25;4
51;0,3;1,24;5
51,2;0,4;1,24;4
51,4;0,2;1,22;4
51,4;0,2;1,23;4
51,9;0,3;1,2;4
52,2;0,2;1,18;4
52,3;0;1,19;4
52,5;0,1;1,18;5
52,5;0,2;1,17;4
52,7;0,2;1,16;5
52,9;0,3;1,14;4
53;0,3;1,15;5
53,1;0,3;1,14;4
53,5;0,2;1,12;4
53,8;0,3;1,27;5
53,9;0,4;1,11;4
54,1;0,2;1,11;4
54,3;0,3;1,1;4
54,4;0,1;1,09;5
54,5;0,2;1,08;4
54,7;0,1;1,07;4
54,9;0,3;1,06;4
55,1;0;1,05;4
55,2;0,2;1,05;4
55,2;0,2;1,04;4
55,4;0,3;1,04;4
56,1;0,4;1,03;4
56,2;0;1,16;5
56,2;0,3;1,02;4
56,3;0,3;1;5
56,5;0,3;1;4
56,7;0,2;0,99;4
56,8;0,1;0,98;4
57;0,2;0,97;4
57,2;0,3;0,96;4
57,5;0,2;0,96;5
57,9;0,3;0,95;4
58,1;0,2;0,94;4
58,2;0,2;0,93;4
58,6;0,2;0,92;4
58,6;0,2;0,93;5
58,9;0,3;0,91;4
59;0,2;0,9;5
59,4;0,2;0,89;4
59,6;0,2;1,01;5
59,7;0,1;0,89;5
59,9;0,1;0,87;4
60,1;0,2;0,87;4
60,3;0,2;0,86;4
60,5;0,2;0,85;4
60,7;0,2;0,85;4
61,2;0,2;0,84;5
61,3;0,2;0,83;4
61,3;0,2;0,82;4
61,7;0,3;0,81;4
62;0,2;0,92;5
62;0;0,8;5
62,4;0,1;0,79;4
62,7;0,1;0,78;4
62,8;0,2;0,78;4
63;0,1;0,77;5
63,2;0,1;0,77;4
63,4;0,4;0,76;4
63,8;0,2;0,75;5
64;0,1;0,74;5
64,2;0,2;0,74;4
64,7;0,2;0,73;4
64,8;0,2;0,72;4
65,2;0,1;0,71;5
65,3;0,2;0,81;5
65,4;0,3;0,7;5
65,8;0,1;0,7;4
66;0,2;0,69;4
66,5;0,2;0,69;4
66,6;0,2;0,68;4
66,9;0,2;0,67;4
67;0;0,66;4
67,5;0,2;0,66;4
67,8;0,3;0,65;4
68;0,2;0,64;4
68,2;0,2;0,64;4
68,3;0,2;0,63;5
68,7;0,1;0,62;4
69;0,3;0,62;4
69,3;0,2;0,61;4
69,8;0,5;0,59;4
69,9;0,1;0,6;4
70,5;0,3;0,58;5
70,6;0,2;0,58;4
70,7;0,2;0,65;4
70,9;0,3;0,57;4
71,1;0,2;0,57;4
71,5;0,4;0,56;4
71,6;0,3;0,55;5
72,1;0,2;0,54;4
72,6;0,3;0,54;4
72,9;0,2;0,53;4
73;0,4;0,53;4
73,1;0,3;0,6;5
73,2;0,3;0,52;4
74,1;0,3;0,51;4
74,5;0,2;0,51;4
74,6;0,2;0,5;4
74,8;0,3;0,5;4
75,4;0,3;0,49;4
75,7;0,2;0,48;5
76;0,1;0,48;5
76,5;0,2;0,54;4
76,5;0,2;0,47;5
76,7;0,1;0,46;4
76,9;0,1;0,46;4
77,5;0,2;0,45;5
77,8;0,2;0,45;4
78,2;0,1;0,44;4
78,6;0,2;0,49;5
78,7;0,1;0,43;4
79;0,2;0,43;4
79,2;0,1;0,42;4
79,5;0,2;0,42;5
80;0,2;0,41;4
80,4;0,1;0,41;5
80,7;0;0,4;5
81,2;0,1;0,4;4
81,9;0,2;0,39;4
82,1;0,2;0,39;4
82,3;0,1;0,38;4
82,8;0,2;0,37;4
83,4;0,2;0,37;4
83,9;0,1;0,36;5
84,1;0;0,41;4
84,4;0,3;0,36;5
84,7;0,3;0,35;4
84,9;0,1;0,35;4
85,5;0,2;0,34;4
85,8;0,2;0,34;4
86,3;0,2;0,33;4
86,7;0,1;0,33;5
87,2;0,2;0,32;5
87,3;0,2;0,37;5
87,4;0,1;0,32;5
88;0,2;0,31;4
88,7;0,1;0,31;4
89,2;0,2;0,34;5
89,2;0,3;0,3;4
89,5;0,2;0,3;4
90,1;0,3;0,29;4
90,4;0,4;0,29;4
90,7;0,3;0,29;4
91,3;0,1;0,28;4
91,6;0;0,28;4
92,2;0,2;0,31;5
92,5;0,3;0,27;4
92,8;0,4;0,27;5
93,2;0,2;0,26;4
93,5;0,2;0,26;4
94,2;0,4;0,29;5
94,3;0,1;0,25;4
94,8;0,3;0,25;5
95,2;0,4;0,25;4
95,6;0,3;0,25;4
96,2;0,3;0,24;5
96,6;0,1;0,23;5
97,2;0,2;0,23;4
97,4;0,1;0,26;5
97,7;0,4;0,23;5
98,1;0,1;0,22;5
98,7;0,2;0,22;5
99,1;0,3;0,22;5
99,5;0,2;0,24;5
99,8;0,1;0,21;5
100,3;0,2;0,21;5
100,9;0,1;0,21;5
101,1;0,1;0,21;4
101,6;0,2;0,2;5
102;0,2;0,2;5
102,5;0,3;0,22;5
102,5;0;0,19;4
102,9;0,1;0,19;5
103,6;0,2;0,19;4
104;0,3;0,19;5
104,3;0;0,21;5
104,8;0,4;0,18;5
105,4;0,2;0,18;4
105,9;0,2;0,18;5
106,4;0,4;0,17;5
106,7;0,2;0,19;5
106,8;0,2;0,17;4
107,5;0,3;0,17;4
107,8;0,3;0,17;4
107,9;0,3;0,18;5
108,3;0,2;0,16;5
108,8;0,2;0,16;5
109,2;0,2;0,16;5
109,4;0,4;0,17;4
109,6;0,3;0,16;5
110;0,3;0,15;5
110,2;0,3;0,17;5
110,4;0,1;0,15;5
110,8;0,3;0,15;4
111,2;0,2;0,15;5
111,3;0,2;0,16;5
111,7;0,4;0,15;5
111,8;0,4;0,15;5
112,1;0,3;0,15;4
112,2;0,2;0,15;5
112,4;0,2;0,14;5
112,4;0,2;0,15;5
112,9;0,2;0,14;5
113;0,2;0,14;5
113;0,2;0,15;4
113,2;0,3;0,14;5
113,3;0,3;0,15;5
113,3;0,1;0,14;5
113,4;0,3;0,14;5
113,4;0,2;0,14;5
113,5;0;0,14;4
113,7;0,3;0,14;5
113,7;0,2;0,14;5
